"","Year","Month","Hurricane Count","time_series1.enso.ts.1mn","time_series1.tni.had","time_series1.nina1","time_series1.nina3.anom","time_series1.pna","time_series1.soi","time_series2.z500_avg","time_series2.z500_std","time_series2.zzwnd200_ori","time_series2.zwdn_200_an","time_series2.zwdn_500_an","time_series2.zwnd200_st","time_series2.OLR","time_series2.Oni","MM","ESPI","EI","LI","MON","X130E.80W","X160E.80W","X180W.100W"
"1",1979,1,0,0.26,-0.343,24.32,24.32,-99.9,0.09,267.29,-0.65,15.5,0.9,-0.22,0.2,23.4,-1.5,1,1.01533,0.70899,-1.35373,1,0.56,0.49,0.39
"2",1979,2,0,-0.25,-0.309,25.68,25.68,-99.9,-0.01,267.41,-0.33,14.9,0.8,-0.11,0.2,25.4,-1.3,2,0.70502,0.57587,-0.80529,2,0.83,0.85,0.97
"3",1979,3,0,0.31,-0.347,26.48,26.48,-99.9,-0.09,267.5,-0.45,14,3.9,-0.15,0.8,32.7,-1.2,3,0.17286,0.14736,-0.17722,3,0.38,0.36,0.31
"4",1979,4,0,0.47,-0.187,25.54,25.54,-99.9,0.83,267.91,0.1,7.5,-0.5,0.03,-0.1,42.5,-1.2,4,-0.15151,-0.44814,-0.35412,4,0.01,-0.09,-0.21
"5",1979,5,0,-0.18,0.067,23.98,23.98,-99.9,0.5,267.83,-0.27,7.4,2.5,-0.09,0.5,43.3,-1.1,5,-0.09556,-0.41571,-0.37703,5,0.17,0.12,0.06
"6",1979,6,0,-0.08,0.333,22.76,22.76,-99.9,-0.48,267.73,0.25,3.8,2,0.09,0.4,48.9,-0.9,6,-1.1273,-1.47575,0.5859,6,0.24,0.25,0.35
"7",1979,7,1,-0.66,0.44,21.12,21.12,-99.9,0.44,267.25,-0.25,-3.8,-3.5,-0.08,-0.7,54,-0.5,7,-0.87678,-0.73523,0.87538,7,0.14,0.09,0.19
"8",1979,8,1,0.48,0.462,20.52,20.52,-99.9,0.34,267.37,-0.07,-7,-4.4,-0.02,-0.9,54.1,-0.4,8,0.6585,0.24249,-1.03224,8,0.34,0.34,0.49
"9",1979,9,3,0.37,0.302,20.43,20.43,-99.9,0.12,267.37,-0.08,-2.6,0.7,-0.03,0.2,52.5,-0.4,9,-0.36576,-0.26648,0.44371,9,0.71,0.79,0.91
"10",1979,10,0,0.37,0.007,20.52,20.52,-99.9,-0.56,267.63,0.47,5.9,4.2,0.16,0.9,40.8,-0.4,10,-0.02439,0.32829,0.4226,10,0.63,0.65,0.63
"11",1979,11,0,0.5,-0.285,21.24,21.24,-99.9,-0.65,267.71,0.57,4.9,-3.6,0.19,-0.7,40.4,-0.6,11,-0.21269,-0.29023,0.08029,11,0.66,0.81,1.06
"12",1979,12,0,0.81,-0.758,22.41,22.41,-99.9,-0.89,267.59,0.11,10.5,-2.8,0.04,-0.6,29,-0.8,12,0.34097,0.15725,-0.5978,12,0.77,0.9,0.92
"13",1980,1,0,0.2,-1.073,23.06,23.06,-3.65,-0.16,267.72,0.62,13.6,-1,0.21,-0.2,43.8,-0.8,1,-0.73733,-0.90042,0.38642,1,0.58,0.8,0.83
"14",1980,2,0,0.21,-1.201,24.93,24.93,-1.69,-0.34,267.81,0.86,7.9,-6.2,0.29,-1.3,41.8,-0.5,2,-0.46183,-0.8325,-0.1858,2,0.48,0.56,0.62
"15",1980,3,0,0.52,-1.039,25.94,25.94,-0.06,-1.56,267.85,0.58,12.9,2.8,0.2,0.6,20,-0.2,3,0.41208,0.26565,-0.5395,3,0.46,0.5,0.5
"16",1980,4,0,0.86,-0.996,24.81,24.81,-0.23,0.3,267.96,0.24,7.4,-0.6,0.08,-0.1,37.6,0.2,4,-0.33693,-0.54297,-0.0992,4,0.51,0.64,0.82
"17",1980,5,0,0.43,-1.039,23.65,23.65,-0.4,-1.34,268.18,0.77,3.7,-1.2,0.26,-0.3,40.1,0.4,5,0.75912,0.03363,-1.51276,5,0.63,0.8,1.14
"18",1980,6,0,0.64,-1.038,22.49,22.49,-1.99,-2.2,268.05,1.2,-0.4,-2.2,0.41,-0.5,33.2,0.6,6,-0.13139,-0.22713,0.00412,6,0.75,0.95,1.17
"19",1980,7,0,0.26,-1.018,21.07,21.07,-0.82,-0.4,267.6,0.79,0.2,0.5,0.27,0.1,41.5,0.7,7,0.5663,-0.08166,-1.21206,7,0.21,0.22,0.27
"20",1980,8,3,-0.12,-1.135,19.88,19.88,0.79,-1.41,267.43,0.1,-2.2,0.4,0.04,0.1,36.9,0.9,8,-0.97505,-0.72457,1.12463,8,0.14,0.07,0.04
"21",1980,9,3,0.26,-1.284,19.93,19.93,-1,-1.23,267.66,0.78,-2.4,0.9,0.26,0.2,54.5,1,9,0.10593,-0.27662,-0.53304,9,0.05,-0.11,-0.26
"22",1980,10,1,0.11,-1.29,20.44,20.44,0.7,-1.24,267.52,0.15,4.4,2.7,0.05,0.5,47.2,1.2,10,-0.0855,-0.41338,-0.2916,10,0.18,0.05,0.02
"23",1980,11,2,0.31,-1.393,21.19,21.19,-1.74,-1.49,267.48,-0.12,8.8,0.3,-0.04,0.1,42.1,1,11,0.35061,0.16501,-0.58276,11,0.41,0.37,0.35
"24",1980,12,0,0.33,-1.425,22.63,22.63,-0.28,0.52,267.43,-0.36,12.2,-1.1,-0.12,-0.2,42.2,0.8,12,-0.83272,-0.94767,0.61645,12,0.46,0.46,0.61
"25",1981,1,0,-0.31,-1.35,24.3,24.3,-1.18,-1.9,267.35,-0.47,12,-2.6,-0.16,-0.5,40.8,0.5,1,-0.59035,-0.67229,0.38465,1,0.33,0.26,0.36
"26",1981,2,0,-0.03,-1.094,25.31,25.31,-2.11,-0.26,267.38,-0.42,17,2.9,-0.14,0.6,24.1,0.4,2,0.38788,0.21179,-0.60761,2,0.26,0.21,0.3
"27",1981,3,0,0.82,-0.835,25.2,25.2,-1.09,-0.59,267.66,0.02,8.2,-1.9,0.01,-0.4,22.2,0.3,3,0.81679,0.54269,-1.04729,3,0.64,0.73,1.02
"28",1981,4,0,0.18,-0.558,24.73,24.73,0.47,2.12,267.86,-0.05,13.6,5.6,-0.02,1.2,23.3,0.3,4,0.71754,0.56911,-0.67973,4,0.53,0.63,0.77
"29",1981,5,0,-0.35,-0.496,24.11,24.11,1.19,1.4,267.98,0.18,8.4,3.5,0.06,0.7,50.9,0.2,5,-0.68481,-0.69716,0.44508,5,0.23,0.26,0.24
"30",1981,6,0,-0.47,-0.464,23.25,23.25,-0.54,1.53,267.55,-0.28,7.8,6,-0.09,1.2,49.4,0,6,-0.49371,-0.59111,0.32086,6,-0.11,-0.19,-0.22
"31",1981,7,0,-0.58,-0.533,22.43,22.43,-0.44,1.42,267.36,0.08,2.8,3.1,0.03,0.6,47.8,-0.1,7,-0.42197,-0.36573,0.40749,7,-0.38,-0.51,-0.66
"32",1981,8,1,-0.29,-0.605,21.81,21.81,0.02,0.94,267.23,-0.49,-6.1,-3.5,-0.16,-0.7,64.8,0,8,0.31676,0.25877,-0.33953,8,-0.29,-0.5,-0.59
"33",1981,9,5,-0.2,-0.708,22.03,22.03,-0.08,0.12,267.38,-0.05,0.4,3.7,-0.02,0.8,53.6,0.2,9,-0.9103,-1.10791,0.59582,9,0.18,0.05,0.14
"34",1981,10,0,0.32,-0.668,22.83,22.83,0.43,0.85,267.5,0.09,1.7,0,0.03,0,54.8,0.1,10,-0.57056,-0.82221,0.24894,10,0.26,0.2,0.25
"35",1981,11,1,-0.16,-0.52,24.68,24.68,0.21,0.56,267.54,0.06,9.6,1.1,0.02,0.2,51.9,0,11,-0.84225,-0.83892,0.76398,11,0.09,-0.02,0.02
"36",1981,12,0,-0.11,-0.403,25.97,25.97,-1.59,0.42,267.52,-0.1,21.2,7.9,-0.03,1.6,34.7,0.1,12,-0.21343,-0.31682,0.04734,12,0.1,-0.1,-0.22
"37",1982,1,0,-0.36,-0.565,27.21,27.21,-3.19,1.06,267.39,-0.36,18.6,4,-0.12,0.8,49.5,0.4,1,-0.66956,-0.56525,0.74153,1,0.33,0.22,0.21
"38",1982,2,0,-0.06,-0.753,28.13,28.13,0.08,0.18,267.4,-0.36,14.5,0.4,-0.12,0.1,36.9,0.6,2,-0.31302,-0.6484,-0.25777,2,0.59,0.53,0.56
"39",1982,3,0,0,-0.931,28.72,28.72,-0.69,-0.75,267.56,-0.27,12.2,2.1,-0.09,0.4,28.4,0.6,3,-0.17107,-0.28539,-0.01527,3,0.74,0.78,0.92
"40",1982,4,0,0.47,-1.271,28.86,28.86,0.89,0.47,267.68,-0.58,7.3,-0.7,-0.2,-0.1,37.1,0.7,4,-0.16953,-0.45748,-0.32952,4,0.69,0.79,0.93
"41",1982,5,0,1.05,-1.319,28.26,28.26,-0.79,-0.11,267.96,0.12,1,-3.9,0.04,-0.8,49.7,0.8,5,-0.04837,-0.41739,-0.47627,5,0.72,0.9,0.96
"42",1982,6,1,1.74,-0.955,27.36,27.36,0.53,-1.1,267.82,0.52,0.5,-1.3,0.18,-0.3,40.1,0.8,6,0.43734,0.34403,-0.49324,6,0.76,0.89,1.01
"43",1982,7,0,1.56,-0.407,25.76,25.76,-1.57,0.17,267.31,-0.07,-3.5,-3.2,-0.02,-0.7,27.2,0.7,7,2.21935,1.74572,-2.34978,7,0.79,0.95,1.11
"44",1982,8,0,1.9,0.02,23.93,23.93,0.77,0.98,267.34,-0.16,-4.5,-1.9,-0.05,-0.4,24.9,0.7,8,1.64897,1.47486,-1.62633,8,1.04,1.28,1.61
"45",1982,9,1,2.04,0.87,22.1,22.1,0.4,0,267.34,-0.17,-7.1,-3.8,-0.06,-0.8,32.6,0.8,9,1.88772,1.53366,-2.10897,9,1.15,1.53,1.86
"46",1982,10,0,2.22,1.535,22,22,1.05,-0.58,267.15,-0.95,-3.1,-4.8,-0.32,-1,24,0.8,10,1.94788,1.93977,-1.8329,10,1.33,1.83,2.07
"47",1982,11,0,2.69,1.87,22.05,22.05,0.77,-0.86,267.53,0.03,1.7,-6.8,0.01,-1.4,16.2,0.8,11,2.95648,3.00979,-2.58836,11,1.2,1.74,1.92
"48",1982,12,0,2.38,1.913,23.03,23.03,0.63,-1.29,267.71,0.46,-0.2,-13.5,0.16,-2.8,22.9,0.8,12,1.96181,2.3242,-1.31522,12,0.8,1.26,1.45
"49",1983,1,0,2.76,2.096,24.18,24.18,0.18,-1.13,268.2,2.04,0.8,-13.8,0.69,-2.8,11.3,0.8,1,2.46852,2.67142,-1.82467,1,-0.1,0.15,0.05
"50",1983,2,0,3.08,2.332,25.22,25.22,1.04,-0.13,268.06,1.6,0.3,-13.8,0.54,-2.8,24.7,0.5,2,2.05954,2.29874,-1.38659,2,-0.66,-0.56,-0.81
"51",1983,3,0,2.5,2.672,25.62,25.62,-0.44,-2,268.38,2.15,-6.1,-16.2,0.73,-3.3,38,0,3,1.54509,2.17973,-0.40574,3,-0.94,-0.83,-0.95
"52",1983,4,0,1.56,3.351,25.3,25.3,0.78,-0.46,268.51,1.87,-6.8,-14.8,0.63,-3,42.7,-0.4,4,1.43562,2.33298,0.45226,4,-0.12,0.15,0.23
"53",1983,5,0,0.67,4.14,23.3,23.3,1.14,-0.47,268.44,1.54,-1.5,-6.4,0.52,-1.3,29.7,-0.5,5,1.53672,3.02782,1.01929,5,-0.36,-0.12,-0.32
"54",1983,6,0,0.82,4.638,22.18,22.18,-1.6,0.24,267.93,0.85,0.2,-1.6,0.29,-0.3,28.9,-0.5,6,1.42148,2.08197,-0.48145,6,-0.79,-0.69,-1.12
"55",1983,7,0,0.39,4.557,21.33,21.33,0.27,0.31,267.78,1.32,-2.4,-2.1,0.45,-0.4,29.9,-0.6,7,-1.06271,-0.82403,1.13899,7,-1.07,-1.06,-1.51
"56",1983,8,2,0.09,4.21,20.45,20.45,-1.15,0.38,267.63,0.7,0.2,2.8,0.24,0.6,49,-0.8,8,-0.05397,-0.40715,-0.34326,8,-1.23,-1.29,-1.66
"57",1983,9,1,-0.67,3.64,20.66,20.66,-0.14,0.58,267.52,0.36,-0.9,2.4,0.12,0.5,52.1,-0.9,9,-0.52924,-0.67615,0.30979,9,-1.54,-1.73,-2.15
"58",1983,10,0,-0.77,2.955,20.51,20.51,2.27,-0.14,267.55,0.24,5.8,4.1,0.08,0.8,57.3,-0.8,10,-0.72171,-0.87883,0.49759,10,-1.63,-1.83,-2.25
"59",1983,11,0,-0.53,2.301,21.52,21.52,1.57,-0.02,267.44,-0.23,12,3.5,-0.08,0.7,51,-0.7,11,-0.56305,-0.63549,0.40344,11,-1.36,-1.54,-1.81
"60",1983,12,0,-0.37,1.739,22.41,22.41,0.96,0.97,267.27,-0.84,13.6,0.3,-0.28,0.1,53.9,-0.7,12,-0.85765,-0.71012,1.03288,12,-0.96,-1.13,-1.36
"61",1984,1,0,-0.37,1.335,23.79,23.79,-2.11,2.69,267.09,-1.24,9.8,-4.8,-0.42,-1,61.9,-0.7,1,-1.25177,-0.85952,1.69154,1,-0.7,-0.86,-0.87
"62",1984,2,0,-0.54,1.111,24.72,24.72,-0.48,1.12,267.36,-0.47,13.8,-0.3,-0.16,-0.1,64.8,-0.6,2,-1.33421,-0.88428,1.84597,2,-0.61,-0.82,-0.9
"63",1984,3,0,0.02,0.766,25.6,25.6,-1.44,1.69,267.62,-0.1,5.5,-4.6,-0.03,-0.9,55.7,-0.7,3,-0.85274,-0.50223,1.18128,3,-0.48,-0.71,-0.92
"64",1984,4,0,-0.56,0.514,24.16,24.16,-2.86,-0.54,267.62,-0.76,6.2,-1.8,-0.26,-0.4,54.6,-0.8,4,-1.43883,-0.56425,2.23839,4,-0.42,-0.63,-0.77
"65",1984,5,0,-0.38,0.336,22.53,22.53,0.65,1.35,267.59,-0.98,9.4,4.5,-0.33,0.9,53.4,-0.8,5,-1.61688,-0.59919,2.49454,5,-0.63,-0.9,-1.11
"66",1984,6,0,-0.28,0.139,21.85,21.85,0.09,2.45,267.41,-0.69,4.3,2.5,-0.23,0.5,50.7,-0.7,6,-1.12579,-0.81584,1.35085,6,-0.63,-0.9,-1.15
"67",1984,7,0,-0.2,-0.236,20.56,20.56,-0.14,2.3,266.89,-1.31,4.5,4.8,-0.44,1,47,-0.7,7,-0.99987,0.03751,2.0161,7,-0.16,-0.24,-0.25
"68",1984,8,0,-0.31,-0.186,19.78,19.78,-0.11,0.99,267.04,-1.05,2.7,5.3,-0.35,1.1,53.7,-0.7,8,-1.28313,-1.22909,1.17552,8,-0.12,-0.21,-0.22
"69",1984,9,2,-0.21,0.165,19.74,19.74,-0.04,3.14,266.77,-1.86,-1.8,1.5,-0.63,0.3,57.8,-1.1,9,-1.36597,-1.01351,1.63614,9,-0.19,-0.29,-0.37
"70",1984,10,1,-0.2,0.594,20.1,20.1,0.99,1.9,267.24,-0.68,8.3,6.6,-0.23,1.3,54.9,-1.4,10,-0.66674,-0.57713,0.72581,10,-0.56,-0.75,-0.93
"71",1984,11,1,-0.66,0.62,20.86,20.86,1.38,3.09,267.13,-1.15,11.6,3.1,-0.39,0.6,44.6,-1.7,11,0.1103,-0.13686,-0.4546,11,-0.37,-0.5,-0.63
"72",1984,12,1,-0.62,0.72,22.43,22.43,-0.82,2.8,267.3,-0.75,16.6,3.3,-0.25,0.7,39.1,-1.5,12,-0.6078,-0.79024,0.30246,12,-0.21,-0.31,-0.35
"73",1985,1,0,-0.19,0.783,24.56,24.56,-0.14,2.47,267.09,-1.24,14.4,-0.2,-0.42,-0.1,37.3,-1.1,1,-0.06814,-0.18338,-0.11931,1,0.02,-0.09,-0.16
"74",1985,2,0,-0.95,0.443,26,26,-2.62,1.12,267.27,-0.74,19.9,5.8,-0.25,1.2,54.3,-0.8,2,-0.86248,-0.7865,0.85666,2,-0.23,-0.31,-0.34
"75",1985,3,0,-0.72,-0.016,25.76,25.76,-2.47,1.63,267.45,-0.6,19.2,9.1,-0.2,1.9,26,-0.6,3,0.13296,0.12648,-0.11837,3,-0.34,-0.5,-0.65
"76",1985,4,0,-1.06,-0.175,24.68,24.68,-0.24,2.29,267.58,-0.88,11.3,3.3,-0.3,0.7,49.8,-0.5,4,-0.87846,-0.8107,0.65923,4,-0.06,-0.19,-0.24
"77",1985,5,0,-0.49,-0.404,23.23,23.23,-0.42,1.19,267.81,-0.33,7.6,2.7,-0.11,0.5,60.3,-0.5,5,-1.27089,-1.07478,1.12807,5,0.19,0.07,0.09
"78",1985,6,0,-0.11,-0.81,22.05,22.05,0.11,-3.09,267.32,-0.96,4.6,2.8,-0.32,0.6,51.4,-0.5,6,-0.6511,-0.92868,0.24956,6,0.15,0.03,-0.02
"79",1985,7,1,-0.22,-1.019,21.47,21.47,-1.32,-1.14,266.75,-1.73,-2.7,-2.4,-0.58,-0.5,51.4,-0.6,7,-0.50059,-0.51025,0.39467,7,0.06,-0.03,-0.08
"80",1985,8,3,-0.64,-1.082,20.91,20.91,-0.55,-0.59,267.05,-1.02,-3.2,-0.6,-0.35,-0.1,57.4,-0.6,8,-0.52678,-0.7428,0.21944,8,0.18,0.12,0.24
"81",1985,9,1,-0.29,-1.14,20.91,20.91,-0.22,-2.13,267.08,-0.94,-2.3,1,-0.32,0.2,53.6,-0.5,9,-0.86167,-0.97789,0.64498,9,0.07,-0.07,-0.2
"82",1985,10,1,-0.01,-1.054,21.27,21.27,0.51,-1.78,267.2,-0.8,-2,-3.7,-0.27,-0.8,55,-0.4,10,-0.51608,-0.70765,0.26603,10,-0.05,-0.16,-0.26
"83",1985,11,1,-0.02,-0.798,22.01,22.01,-0.93,-0.36,267.27,-0.74,9.8,1.3,-0.25,0.3,45.6,-0.4,11,-0.69526,-0.66315,0.67285,11,0.11,0.05,0.11
"84",1985,12,0,-0.21,-0.514,23.41,23.41,-2.37,1.33,267.3,-0.75,13,-0.3,-0.25,-0.1,37.9,-0.4,12,-0.29472,-0.54437,-0.09456,12,0.24,0.16,0.27
"85",1986,1,0,-0.73,-0.477,25.56,25.56,-2.34,0.9,267.52,0.03,15.1,0.5,0.01,0.1,37.7,-0.2,1,-1.19314,-1.36892,0.76167,1,0.25,0.19,0.21
"86",1986,2,0,0.26,-0.409,27.07,27.07,-1.69,-0.28,267.05,-1.39,8,-6.1,-0.47,-1.2,49.7,0.1,2,-0.54349,-0.77913,0.0956,2,0.45,0.42,0.41
"87",1986,3,0,-0.29,-0.43,27.93,27.93,-0.97,-0.52,267.4,-0.75,8.8,-1.3,-0.25,-0.3,54.8,0.4,3,-1.61581,-1.41668,1.60305,3,0.37,0.34,0.46
"88",1986,4,0,-0.29,-0.816,27.1,27.1,-0.17,0.98,267.79,-0.26,18.6,10.6,-0.09,2.2,43.9,0.7,4,-1.0811,-0.78462,1.13464,4,0.14,0.01,-0.02
"89",1986,5,0,0.06,-1.099,25.93,25.93,-0.17,1.29,267.84,-0.24,6.7,1.8,-0.08,0.4,48.3,0.9,5,0.21204,-0.25478,-0.78687,5,0.42,0.35,0.31
"90",1986,6,1,-0.31,-1.198,24.1,24.1,-0.08,-1.92,267.6,-0.13,1,-0.8,-0.04,-0.2,40.3,1.1,6,-0.20274,-0.23335,0.14267,6,0.53,0.61,0.8
"91",1986,7,0,0.2,-1.454,22.98,22.98,-1.28,-0.14,266.98,-1.05,-0.2,0.1,-0.35,0,43,1.3,7,-0.03018,-0.38221,-0.38456,7,0.44,0.49,0.45
"92",1986,8,1,0.59,-1.556,21.82,21.82,-0.23,0.75,267.15,-0.72,-0.3,2.3,-0.24,0.5,53.5,1.3,8,0.07082,-0.3949,-0.5761,8,0.3,0.38,0.5
"93",1986,9,1,0.76,-1.402,21.83,21.83,0.42,2.03,267.18,-0.65,-1.9,1.4,-0.22,0.3,37.7,1.3,9,0.02135,-0.25479,-0.33501,9,0.45,0.56,0.65
"94",1986,10,0,0.3,-1.248,22.47,22.47,-2.16,2.19,267.43,-0.12,-1.6,-3.3,-0.04,-0.7,40.3,1.4,10,0.0767,0.10997,-0.0341,10,0.6,0.81,0.95
"95",1986,11,1,1.35,-1.098,22.8,22.8,1,0.53,267.45,-0.2,4.9,-3.6,-0.07,-0.7,24.8,1.5,11,0.13686,0.26696,0.0636,11,0.38,0.53,0.52
"96",1986,12,0,1.31,-0.733,23.48,23.48,-0.61,1.28,267.57,0.05,9.8,-3.5,0.02,-0.7,-0.4,1.7,12,1.80845,1.61231,-2.0059,12,0.59,0.77,0.97
"97",1987,1,0,1,-0.569,24.59,24.59,-2.18,0.65,267.59,0.24,11.9,-2.7,0.08,-0.6,-1.2,1.8,1,0.51243,0.95144,0.23542,1,0.54,0.93,1.22
"98",1987,2,0,1.42,-0.175,25.79,25.79,-1.89,-0.11,267.75,0.68,12,-2.1,0.23,-0.4,-1,1.7,2,1.10648,1.06741,-1.00748,2,0.15,0.37,0.17
"99",1987,3,0,1.71,-0.011,25.68,25.68,0.78,-1,267.79,0.41,4.9,-5.2,0.14,-1.1,16.5,1.3,3,1.52377,1.03171,-1.92744,3,0.18,0.49,0.6
"100",1987,4,0,1.84,-0.121,24.7,24.7,-0.41,1.4,268.25,1.1,2.3,-5.7,0.37,-1.2,17.6,0.9,4,2.01767,1.51106,-2.04673,4,0,0.26,0.31
"101",1987,5,0,1.96,-0.2,23.15,23.15,1.24,0.75,268.04,0.35,-1.5,-6.4,0.12,-1.3,13.3,0.7,5,2.14975,1.94335,-1.73535,5,0.13,0.42,0.58
"102",1987,6,0,2.08,-0.287,21.46,21.46,0.24,2.57,268.1,1.35,-1.1,-2.9,0.46,-0.6,24.5,0.6,6,1.30243,1.44251,-0.98243,6,-0.09,0.17,0.37
"103",1987,7,0,2.1,-0.595,20.59,20.59,-0.11,-0.49,267.72,1.14,-5.4,-5.1,0.39,-1,12.5,0.6,7,2.21963,2.46076,-1.5195,7,-0.42,-0.25,-0.1
"104",1987,8,1,1.87,-0.736,19.55,19.55,-0.99,-0.21,267.69,0.87,-5.6,-3,0.3,-0.6,25.8,0.4,8,0.76478,1.12935,-0.26231,8,-0.28,-0.05,0.2
