Year,Month,yt,time_series1.nina1,time_series2.z500_std,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov
1979,1,0,,,1,0,0,0,0,0,0,0,0,0,0
1979,2,0,,,0,1,0,0,0,0,0,0,0,0,0
1979,3,0,,,0,0,1,0,0,0,0,0,0,0,0
1979,4,0,,,0,0,0,1,0,0,0,0,0,0,0
1979,5,0,,,0,0,0,0,1,0,0,0,0,0,0
1979,6,0,,,0,0,0,0,0,1,0,0,0,0,0
1979,7,1,,,0,0,0,0,0,0,1,0,0,0,0
1979,8,1,,,0,0,0,0,0,0,0,1,0,0,0
1979,9,3,,,0,0,0,0,0,0,0,0,1,0,0
1979,10,0,,,0,0,0,0,0,0,0,0,0,1,0
1979,11,0,,,0,0,0,0,0,0,0,0,0,0,1
1979,12,0,,,0,0,0,0,0,0,0,0,0,0,0
1980,1,0,24.32,-0.65,1,0,0,0,0,0,0,0,0,0,0
1980,2,0,25.68,-0.33,0,1,0,0,0,0,0,0,0,0,0
1980,3,0,26.48,-0.45,0,0,1,0,0,0,0,0,0,0,0
1980,4,0,25.54,0.1,0,0,0,1,0,0,0,0,0,0,0
1980,5,0,23.98,-0.27,0,0,0,0,1,0,0,0,0,0,0
1980,6,0,22.76,0.25,0,0,0,0,0,1,0,0,0,0,0
1980,7,0,21.12,-0.25,0,0,0,0,0,0,1,0,0,0,0
1980,8,3,20.52,-0.07,0,0,0,0,0,0,0,1,0,0,0
1980,9,3,20.43,-0.08,0,0,0,0,0,0,0,0,1,0,0
1980,10,1,20.52,0.47,0,0,0,0,0,0,0,0,0,1,0
1980,11,2,21.24,0.57,0,0,0,0,0,0,0,0,0,0,1
1980,12,0,22.41,0.11,0,0,0,0,0,0,0,0,0,0,0
1981,1,0,23.06,0.62,1,0,0,0,0,0,0,0,0,0,0
1981,2,0,24.93,0.86,0,1,0,0,0,0,0,0,0,0,0
1981,3,0,25.94,0.58,0,0,1,0,0,0,0,0,0,0,0
1981,4,0,24.81,0.24,0,0,0,1,0,0,0,0,0,0,0
1981,5,0,23.65,0.77,0,0,0,0,1,0,0,0,0,0,0
1981,6,0,22.49,1.2,0,0,0,0,0,1,0,0,0,0,0
1981,7,0,21.07,0.79,0,0,0,0,0,0,1,0,0,0,0
1981,8,1,19.88,0.1,0,0,0,0,0,0,0,1,0,0,0
1981,9,5,19.93,0.78,0,0,0,0,0,0,0,0,1,0,0
1981,10,0,20.44,0.15,0,0,0,0,0,0,0,0,0,1,0
1981,11,1,21.19,-0.12,0,0,0,0,0,0,0,0,0,0,1
1981,12,0,22.63,-0.36,0,0,0,0,0,0,0,0,0,0,0
1982,1,0,24.3,-0.47,1,0,0,0,0,0,0,0,0,0,0
1982,2,0,25.31,-0.42,0,1,0,0,0,0,0,0,0,0,0
1982,3,0,25.2,0.02,0,0,1,0,0,0,0,0,0,0,0
1982,4,0,24.73,-0.05,0,0,0,1,0,0,0,0,0,0,0
1982,5,0,24.11,0.18,0,0,0,0,1,0,0,0,0,0,0
1982,6,1,23.25,-0.28,0,0,0,0,0,1,0,0,0,0,0
1982,7,0,22.43,0.08,0,0,0,0,0,0,1,0,0,0,0
1982,8,0,21.81,-0.49,0,0,0,0,0,0,0,1,0,0,0
1982,9,1,22.03,-0.05,0,0,0,0,0,0,0,0,1,0,0
1982,10,0,22.83,0.09,0,0,0,0,0,0,0,0,0,1,0
1982,11,0,24.68,0.06,0,0,0,0,0,0,0,0,0,0,1
1982,12,0,25.97,-0.1,0,0,0,0,0,0,0,0,0,0,0
1983,1,0,27.21,-0.36,1,0,0,0,0,0,0,0,0,0,0
1983,2,0,28.13,-0.36,0,1,0,0,0,0,0,0,0,0,0
1983,3,0,28.72,-0.27,0,0,1,0,0,0,0,0,0,0,0
1983,4,0,28.86,-0.58,0,0,0,1,0,0,0,0,0,0,0
1983,5,0,28.26,0.12,0,0,0,0,1,0,0,0,0,0,0
1983,6,0,27.36,0.52,0,0,0,0,0,1,0,0,0,0,0
1983,7,0,25.76,-0.07,0,0,0,0,0,0,1,0,0,0,0
1983,8,2,23.93,-0.16,0,0,0,0,0,0,0,1,0,0,0
1983,9,1,22.1,-0.17,0,0,0,0,0,0,0,0,1,0,0
1983,10,0,22,-0.95,0,0,0,0,0,0,0,0,0,1,0
1983,11,0,22.05,0.03,0,0,0,0,0,0,0,0,0,0,1
1983,12,0,23.03,0.46,0,0,0,0,0,0,0,0,0,0,0
1984,1,0,24.18,2.04,1,0,0,0,0,0,0,0,0,0,0
1984,2,0,25.22,1.6,0,1,0,0,0,0,0,0,0,0,0
1984,3,0,25.62,2.15,0,0,1,0,0,0,0,0,0,0,0
1984,4,0,25.3,1.87,0,0,0,1,0,0,0,0,0,0,0
1984,5,0,23.3,1.54,0,0,0,0,1,0,0,0,0,0,0
1984,6,0,22.18,0.85,0,0,0,0,0,1,0,0,0,0,0
1984,7,0,21.33,1.32,0,0,0,0,0,0,1,0,0,0,0
1984,8,0,20.45,0.7,0,0,0,0,0,0,0,1,0,0,0
1984,9,2,20.66,0.36,0,0,0,0,0,0,0,0,1,0,0
1984,10,1,20.51,0.24,0,0,0,0,0,0,0,0,0,1,0
1984,11,1,21.52,-0.23,0,0,0,0,0,0,0,0,0,0,1
1984,12,1,22.41,-0.84,0,0,0,0,0,0,0,0,0,0,0
1985,1,0,23.79,-1.24,1,0,0,0,0,0,0,0,0,0,0
1985,2,0,24.72,-0.47,0,1,0,0,0,0,0,0,0,0,0
1985,3,0,25.6,-0.1,0,0,1,0,0,0,0,0,0,0,0
1985,4,0,24.16,-0.76,0,0,0,1,0,0,0,0,0,0,0
1985,5,0,22.53,-0.98,0,0,0,0,1,0,0,0,0,0,0
1985,6,0,21.85,-0.69,0,0,0,0,0,1,0,0,0,0,0
1985,7,1,20.56,-1.31,0,0,0,0,0,0,1,0,0,0,0
1985,8,3,19.78,-1.05,0,0,0,0,0,0,0,1,0,0,0
1985,9,1,19.74,-1.86,0,0,0,0,0,0,0,0,1,0,0
1985,10,1,20.1,-0.68,0,0,0,0,0,0,0,0,0,1,0
1985,11,1,20.86,-1.15,0,0,0,0,0,0,0,0,0,0,1
1985,12,0,22.43,-0.75,0,0,0,0,0,0,0,0,0,0,0
1986,1,0,24.56,-1.24,1,0,0,0,0,0,0,0,0,0,0
1986,2,0,26,-0.74,0,1,0,0,0,0,0,0,0,0,0
1986,3,0,25.76,-0.6,0,0,1,0,0,0,0,0,0,0,0
1986,4,0,24.68,-0.88,0,0,0,1,0,0,0,0,0,0,0
1986,5,0,23.23,-0.33,0,0,0,0,1,0,0,0,0,0,0
1986,6,1,22.05,-0.96,0,0,0,0,0,1,0,0,0,0,0
1986,7,0,21.47,-1.73,0,0,0,0,0,0,1,0,0,0,0
1986,8,1,20.91,-1.02,0,0,0,0,0,0,0,1,0,0,0
1986,9,1,20.91,-0.94,0,0,0,0,0,0,0,0,1,0,0
1986,10,0,21.27,-0.8,0,0,0,0,0,0,0,0,0,1,0
1986,11,1,22.01,-0.74,0,0,0,0,0,0,0,0,0,0,1
1986,12,0,23.41,-0.75,0,0,0,0,0,0,0,0,0,0,0
1987,1,0,25.56,0.03,1,0,0,0,0,0,0,0,0,0,0
1987,2,0,27.07,-1.39,0,1,0,0,0,0,0,0,0,0,0
1987,3,0,27.93,-0.75,0,0,1,0,0,0,0,0,0,0,0
1987,4,0,27.1,-0.26,0,0,0,1,0,0,0,0,0,0,0
1987,5,0,25.93,-0.24,0,0,0,0,1,0,0,0,0,0,0
1987,6,0,24.1,-0.13,0,0,0,0,0,1,0,0,0,0,0
1987,7,0,22.98,-1.05,0,0,0,0,0,0,1,0,0,0,0
1987,8,1,21.82,-0.72,0,0,0,0,0,0,0,1,0,0,0
1987,9,1,21.83,-0.65,0,0,0,0,0,0,0,0,1,0,0
1987,10,1,22.47,-0.12,0,0,0,0,0,0,0,0,0,1,0
1987,11,0,22.8,-0.2,0,0,0,0,0,0,0,0,0,0,1
1987,12,0,23.48,0.05,0,0,0,0,0,0,0,0,0,0,0
1988,1,0,24.59,0.24,1,0,0,0,0,0,0,0,0,0,0
1988,2,0,25.79,0.68,0,1,0,0,0,0,0,0,0,0,0
1988,3,0,25.68,0.41,0,0,1,0,0,0,0,0,0,0,0
1988,4,0,24.7,1.1,0,0,0,1,0,0,0,0,0,0,0
1988,5,0,23.15,0.35,0,0,0,0,1,0,0,0,0,0,0
1988,6,0,21.46,1.35,0,0,0,0,0,1,0,0,0,0,0
1988,7,0,20.59,1.14,0,0,0,0,0,0,1,0,0,0,0
1988,8,0,19.55,0.87,0,0,0,0,0,0,0,1,0,0,0
1988,9,4,19.44,1.34,0,0,0,0,0,0,0,0,1,0,0
1988,10,1,19.81,1.27,0,0,0,0,0,0,0,0,0,1,0
1988,11,0,20.7,1.6,0,0,0,0,0,0,0,0,0,0,1
1988,12,0,22.06,2.18,0,0,0,0,0,0,0,0,0,0,0
1989,1,0,24.27,1.63,1,0,0,0,0,0,0,0,0,0,0
1989,2,0,26.04,1.21,0,1,0,0,0,0,0,0,0,0,0
1989,3,0,26.34,1.95,0,0,1,0,0,0,0,0,0,0,0
1989,4,0,25.45,0.69,0,0,0,1,0,0,0,0,0,0,0
1989,5,0,23.21,0.97,0,0,0,0,1,0,0,0,0,0,0
1989,6,0,22.04,-0.19,0,0,0,0,0,1,0,0,0,0,0
1989,7,0,21.17,-0.13,0,0,0,0,0,0,1,0,0,0,0
1989,8,3,20.71,0.19,0,0,0,0,0,0,0,1,0,0,0
1989,9,3,20.07,0.27,0,0,0,0,0,0,0,0,1,0,0
1989,10,1,20.54,-0.27,0,0,0,0,0,0,0,0,0,1,0
1989,11,0,21.41,-0.59,0,0,0,0,0,0,0,0,0,0,1
1989,12,0,22.41,-1.52,0,0,0,0,0,0,0,0,0,0,0
1990,1,0,24.09,-1.33,1,0,0,0,0,0,0,0,0,0,0
1990,2,0,25.94,-2.13,0,1,0,0,0,0,0,0,0,0,0
1990,3,0,26.04,-2.61,0,0,1,0,0,0,0,0,0,0,0
1990,4,0,25.02,-1.38,0,0,0,1,0,0,0,0,0,0,0
1990,5,0,24.18,-1.57,0,0,0,0,1,0,0,0,0,0,0
1990,6,0,22.83,-1.4,0,0,0,0,0,1,0,0,0,0,0
1990,7,1,21.3,-1.05,0,0,0,0,0,0,1,0,0,0,0
1990,8,2,20.57,-0.67,0,0,0,0,0,0,0,1,0,0,0
1990,9,1,20.24,-0.5,0,0,0,0,0,0,0,0,1,0,0
1990,10,4,20.31,-0.41,0,0,0,0,0,0,0,0,0,1,0
1990,11,0,21,-0.17,0,0,0,0,0,0,0,0,0,0,1
1990,12,0,22.31,-0.6,0,0,0,0,0,0,0,0,0,0,0
1991,1,0,24.02,-0.62,1,0,0,0,0,0,0,0,0,0,0
1991,2,0,25.72,-1.01,0,1,0,0,0,0,0,0,0,0,0
1991,3,0,26.28,-0.1,0,0,1,0,0,0,0,0,0,0,0
1991,4,0,25.24,0.33,0,0,0,1,0,0,0,0,0,0,0
1991,5,0,24.09,0.8,0,0,0,0,1,0,0,0,0,0,0
1991,6,0,23.33,0.99,0,0,0,0,0,1,0,0,0,0,0
1991,7,0,22.56,0.22,0,0,0,0,0,0,1,0,0,0,0
1991,8,1,21.37,0.25,0,0,0,0,0,0,0,1,0,0,0
1991,9,1,21.19,0.12,0,0,0,0,0,0,0,0,1,0,0
1991,10,1,21.67,0.71,0,0,0,0,0,0,0,0,0,1,0
1991,11,1,22.38,0.98,0,0,0,0,0,0,0,0,0,0,1
1991,12,0,23.64,0.49,0,0,0,0,0,0,0,0,0,0,0
1992,1,0,25.03,0.71,1,0,0,0,0,0,0,0,0,0,0
1992,2,0,26.71,0.77,0,1,0,0,0,0,0,0,0,0,0
1992,3,0,27.73,0.76,0,0,1,0,0,0,0,0,0,0,0
1992,4,0,27.72,0.01,0,0,0,1,0,0,0,0,0,0,0
1992,5,0,26.63,0.86,0,0,0,0,1,0,0,0,0,0,0
1992,6,0,23.98,1.17,0,0,0,0,0,1,0,0,0,0,0
1992,7,0,21.89,0.11,0,0,0,0,0,0,1,0,0,0,0
1992,8,1,20.87,0.07,0,0,0,0,0,0,0,1,0,0,0
1992,9,2,20.76,0.09,0,0,0,0,0,0,0,0,1,0,0
1992,10,1,21.02,-1.36,0,0,0,0,0,0,0,0,0,1,0
1992,11,0,21.59,-0.68,0,0,0,0,0,0,0,0,0,0,1
1992,12,0,22.71,-0.42,0,0,0,0,0,0,0,0,0,0,0
1993,1,0,24.55,-1.12,1,0,0,0,0,0,0,0,0,0,0
1993,2,0,26.4,-0.18,0,1,0,0,0,0,0,0,0,0,0
1993,3,0,27.09,0.44,0,0,1,0,0,0,0,0,0,0,0
1993,4,0,26.79,0.27,0,0,0,1,0,0,0,0,0,0,0
1993,5,0,25.57,0.21,0,0,0,0,1,0,0,0,0,0,0
1993,6,0,24.16,0.19,0,0,0,0,0,1,0,0,0,0,0
1993,7,0,22.66,-0.93,0,0,0,0,0,0,1,0,0,0,0
1993,8,1,21.57,-0.7,0,0,0,0,0,0,0,1,0,0,0
1993,9,3,21.11,-0.91,0,0,0,0,0,0,0,0,1,0,0
1993,10,0,21.57,-0.77,0,0,0,0,0,0,0,0,0,1,0
1993,11,0,21.96,-1.3,0,0,0,0,0,0,0,0,0,0,1
1993,12,0,22.83,-0.99,0,0,0,0,0,0,0,0,0,0,0
1994,1,0,24.47,-1.04,1,0,0,0,0,0,0,0,0,0,0
1994,2,0,25.77,-1.54,0,1,0,0,0,0,0,0,0,0,0
1994,3,0,25.48,-1.52,0,0,1,0,0,0,0,0,0,0,0
1994,4,0,24.27,-0.67,0,0,0,1,0,0,0,0,0,0,0
1994,5,0,23.36,-0.12,0,0,0,0,1,0,0,0,0,0,0
1994,6,0,22.21,0.31,0,0,0,0,0,1,0,0,0,0,0
1994,7,0,21.09,0.22,0,0,0,0,0,0,1,0,0,0,0
1994,8,1,19.98,-0.75,0,0,0,0,0,0,0,1,0,0,0
1994,9,0,20.58,-1.09,0,0,0,0,0,0,0,0,1,0,0
1994,10,0,21.81,-0.38,0,0,0,0,0,0,0,0,0,1,0
1994,11,2,22.26,0.09,0,0,0,0,0,0,0,0,0,0,1
1994,12,0,23.67,0.67,0,0,0,0,0,0,0,0,0,0,0
1995,1,0,25.3,-0.03,1,0,0,0,0,0,0,0,0,0,0
1995,2,0,26.2,-0.21,0,1,0,0,0,0,0,0,0,0,0
1995,3,0,26,-1.01,0,0,1,0,0,0,0,0,0,0,0
1995,4,0,23.99,-0.79,0,0,0,1,0,0,0,0,0,0,0
1995,5,0,23,-0.18,0,0,0,0,1,0,0,0,0,0,0
1995,6,1,22.2,-0.04,0,0,0,0,0,1,0,0,0,0,0
1995,7,0,21.35,-0.04,0,0,0,0,0,0,1,0,0,0,0
1995,8,5,20.6,-0.4,0,0,0,0,0,0,0,1,0,0,0
1995,9,2,20.44,-0.29,0,0,0,0,0,0,0,0,1,0,0
1995,10,3,20.46,-1.21,0,0,0,0,0,0,0,0,0,1,0
1995,11,0,21.37,-0.35,0,0,0,0,0,0,0,0,0,0,1
1995,12,0,21.96,0.35,0,0,0,0,0,0,0,0,0,0,0
1996,1,0,23.92,0.47,1,0,0,0,0,0,0,0,0,0,0
1996,2,0,25.66,-0.39,0,1,0,0,0,0,0,0,0,0,0
1996,3,0,26.16,-0.04,0,0,1,0,0,0,0,0,0,0,0
1996,4,0,23.62,0.6,0,0,0,1,0,0,0,0,0,0,0
1996,5,0,22.97,0.26,0,0,0,0,1,0,0,0,0,0,0
1996,6,0,21.24,0.93,0,0,0,0,0,1,0,0,0,0,0
1996,7,2,20.7,0.17,0,0,0,0,0,0,1,0,0,0,0
1996,8,3,20.14,0.84,0,0,0,0,0,0,0,1,0,0,0
1996,9,2,20.08,0.8,0,0,0,0,0,0,0,0,1,0,0
1996,10,1,20.31,0.39,0,0,0,0,0,0,0,0,0,1,0
1996,11,1,20.56,-0.29,0,0,0,0,0,0,0,0,0,0,1
1996,12,0,21.68,-1.16,0,0,0,0,0,0,0,0,0,0,0
1997,1,0,23.66,-1.33,1,0,0,0,0,0,0,0,0,0,0
1997,2,0,25.88,-0.59,0,1,0,0,0,0,0,0,0,0,0
1997,3,0,27.03,-0.45,0,0,1,0,0,0,0,0,0,0,0
1997,4,0,26.44,-0.44,0,0,0,1,0,0,0,0,0,0,0
1997,5,0,26.54,-0.68,0,0,0,0,1,0,0,0,0,0,0
1997,6,0,26.12,-0.07,0,0,0,0,0,1,0,0,0,0,0
1997,7,2,25.59,-0.63,0,0,0,0,0,0,1,0,0,0,0
1997,8,0,24.96,-0.99,0,0,0,0,0,0,0,1,0,0,0
1997,9,1,24.69,0.01,0,0,0,0,0,0,0,0,1,0,0
1997,10,0,24.69,-0.21,0,0,0,0,0,0,0,0,0,1,0
1997,11,0,26.12,-0.74,0,0,0,0,0,0,0,0,0,0,1
1997,12,0,27.06,-0.81,0,0,0,0,0,0,0,0,0,0,0
1998,1,0,28.12,-1.36,1,0,0,0,0,0,0,0,0,0,0
1998,2,0,28.74,-1.21,0,1,0,0,0,0,0,0,0,0,0
1998,3,0,29.23,-1.55,0,0,1,0,0,0,0,0,0,0,0
1998,4,0,28.22,-1.92,0,0,0,1,0,0,0,0,0,0,0
1998,5,0,27.14,-1.19,0,0,0,0,1,0,0,0,0,0,0
1998,6,0,25.36,-0.6,0,0,0,0,0,1,0,0,0,0,0
1998,7,0,23.37,0.76,0,0,0,0,0,0,1,0,0,0,0
1998,8,2,21.97,0.13,0,0,0,0,0,0,0,1,0,0,0
1998,9,5,20.95,0.45,0,0,0,0,0,0,0,0,1,0,0
1998,10,2,21.35,0.33,0,0,0,0,0,0,0,0,0,1,0
1998,11,1,21.51,0.51,0,0,0,0,0,0,0,0,0,0,1
1998,12,0,22.63,1.5,0,0,0,0,0,0,0,0,0,0,0
1999,1,0,23.79,2.66,1,0,0,0,0,0,0,0,0,0,0
1999,2,0,25.56,3.31,0,1,0,0,0,0,0,0,0,0,0
1999,3,0,26.45,2.75,0,0,1,0,0,0,0,0,0,0,0
1999,4,0,24.64,3.08,0,0,0,1,0,0,0,0,0,0,0
1999,5,0,23.73,2.57,0,0,0,0,1,0,0,0,0,0,0
1999,6,0,22.36,1.26,0,0,0,0,0,1,0,0,0,0,0
1999,7,0,21.73,0.91,0,0,0,0,0,0,1,0,0,0,0
1999,8,3,20.89,0.9,0,0,0,0,0,0,0,1,0,0,0
1999,9,2,19.67,0.72,0,0,0,0,0,0,0,0,1,0,0
1999,10,2,20.15,0.74,0,0,0,0,0,0,0,0,0,1,0
1999,11,1,20.43,-0.12,0,0,0,0,0,0,0,0,0,0,1
1999,12,0,22.17,-0.42,0,0,0,0,0,0,0,0,0,0,0
2000,1,0,23.81,-0.98,1,0,0,0,0,0,0,0,0,0,0
2000,2,0,25.48,-1.69,0,1,0,0,0,0,0,0,0,0,0
2000,3,0,26.02,-1.04,0,0,1,0,0,0,0,0,0,0,0
2000,4,0,25.5,-1.68,0,0,0,1,0,0,0,0,0,0,0
2000,5,0,24.02,-2.16,0,0,0,0,1,0,0,0,0,0,0
2000,6,0,22.75,-2.11,0,0,0,0,0,1,0,0,0,0,0
2000,7,0,21.68,-1.28,0,0,0,0,0,0,1,0,0,0,0
2000,8,2,20.44,-1.02,0,0,0,0,0,0,0,1,0,0,0
2000,9,5,20.5,-1.06,0,0,0,0,0,0,0,0,1,0,0
2000,10,1,20.74,-1.63,0,0,0,0,0,0,0,0,0,1,0
2000,11,0,20.46,-1.18,0,0,0,0,0,0,0,0,0,0,1
